Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Michael Jordan,25,CHI,SG,81,81,40.2,11.9,22.2,0.538,0.3,1.2,0.276,11.6,21,0.553,0.546,8.3,9.8,0.85,1.8,6.2,8,8,2.9,0.8,3.6,3,32.5,"MVP-2,DPOY-5,AS,NBA1,DEF1"
2,Karl Malone,25,UTA,PF,80,80,39.1,10.1,19.5,0.519,0.1,0.2,0.313,10.1,19.3,0.521,0.521,8.8,11.5,0.766,3.2,7.4,10.7,2.7,1.8,0.9,3.6,3.6,29.1,"MVP-3,AS,NBA1"
3,Dale Ellis,28,SEA,SG,82,82,38.9,10.5,20.9,0.501,2,4.1,0.478,8.5,16.7,0.507,0.549,4.6,5.6,0.816,1.9,2.3,4.2,2,1.3,0.3,2.7,2.4,27.5,"AS,NBA3"
4,Clyde Drexler,26,POR,SG,78,78,39.3,10.6,21.4,0.496,0.3,1.3,0.26,10.3,20.1,0.511,0.504,5.6,7,0.799,3.7,4.2,7.9,5.8,2.7,0.7,3.2,3.4,27.2,AS
5,Alex English,35,DEN,SF,82,82,36.5,11.3,22.9,0.491,0,0.1,0.25,11.2,22.8,0.492,0.492,4,4.6,0.858,1.8,2.2,4,4.7,0.8,0.1,2.4,2.1,26.5,AS
6,Chris Mullin,25,GSW,SF,82,82,37.7,10.1,19.9,0.509,0.3,1.2,0.23,9.8,18.7,0.527,0.516,6,6.7,0.892,1.9,4,5.9,5.1,2.1,0.5,3.6,2.2,26.5,"MVP-13,AS,NBA2"
7,Dominique Wilkins,29,ATL,SF,80,80,37.5,10.2,22,0.464,0.4,1.3,0.276,9.8,20.6,0.475,0.472,5.5,6.6,0.844,3.2,3.7,6.9,2.6,1.5,0.7,2.3,1.7,26.2,"AS,NBA3"
8,Charles Barkley,25,PHI,PF,79,79,39.1,8.9,15.3,0.579,0.4,2.1,0.216,8.4,13.2,0.636,0.594,7.6,10.1,0.753,5.1,7.4,12.5,4.1,1.6,0.8,3.2,3.3,25.8,"MVP-6,AS,NBA1"
9,Tom Chambers,29,PHO,PF,81,81,37.1,9.6,20.3,0.471,0.3,1.1,0.326,9.2,19.2,0.479,0.48,6.3,7.4,0.851,1.8,6.7,8.4,2.9,1.1,0.7,2.9,3.3,25.7,"MVP-9,AS,NBA2"
10,Hakeem Olajuwon,26,HOU,C,82,82,36.9,9.6,19,0.508,0,0.1,0,9.6,18.9,0.511,0.508,5.5,8,0.696,4.1,9.4,13.5,1.8,2.6,3.4,3.4,4,24.8,"MVP-5,DPOY-2,AS,NBA1"
11,Terry Cummings,27,MIL,SF,80,78,35.3,9.1,19.5,0.467,0.1,0.2,0.467,9,19.4,0.467,0.469,4.5,5.8,0.787,3.5,4.6,8.1,2.5,1.3,0.9,2.5,3.3,22.9,"MVP-17,AS,NBA3"
12,Patrick Ewing,26,NYK,C,80,80,36.2,9.1,16,0.567,0,0.1,0,9.1,16,0.57,0.567,4.5,6.1,0.746,2.7,6.6,9.3,2.4,1.5,3.5,3.3,3.9,22.7,"MVP-4,DPOY-6,AS,NBA2,DEF2"
13,Kelly Tripucka,29,CHH,SF,71,65,32.4,8,17.1,0.467,0.4,1.2,0.357,7.6,15.9,0.476,0.48,6.2,7.2,0.866,1.1,2.6,3.8,3.2,1.2,0.2,3.3,2.8,22.6,
14,Magic Johnson,29,LAL,PG,77,77,37.5,7.5,14.8,0.509,0.8,2.4,0.314,6.8,12.3,0.548,0.535,6.7,7.3,0.911,1.4,6.4,7.9,12.8,1.8,0.3,4.1,2.2,22.5,"MVP-1,AS,NBA1"
15,Kevin McHale,31,BOS,PF,78,74,36.9,8.5,15.5,0.546,0,0.1,0,8.5,15.5,0.548,0.546,5.6,6.8,0.818,2.9,5.3,8.2,2.2,0.3,1.2,2.5,2.9,22.5,"AS,DEF2"
16,Mitch Richmond,23,GSW,SG,79,79,34.4,8.2,17.5,0.468,0.4,1.1,0.367,7.8,16.4,0.475,0.48,5.2,6.4,0.81,2,3.9,5.9,4.2,1,0.2,3.4,2.8,22,ROY-1
17,Jeff Malone,27,WSB,SG,76,75,31.8,8.9,18.6,0.48,0,0.3,0.053,8.9,18.3,0.486,0.48,3.9,4.5,0.871,0.7,1.6,2.4,2.9,0.5,0.2,2.2,2,21.7,
