Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
26,Jeff Hornacek,29,PHI,PG,79,78,36.2,7.4,15.7,0.47,1.2,3.2,0.39,6.1,12.5,0.49,0.509,3.2,3.7,0.865,1.1,3.3,4.3,6.9,1.7,0.3,2.8,2.6,19.1,
27,Clifford Robinson,26,POR,PF,82,12,31.4,7.7,16.3,0.473,0.2,0.9,0.247,7.5,15.4,0.487,0.48,3.5,5.1,0.69,2,4.6,6.6,2.2,1.2,2,2.1,3.5,19.1,6MOY-1
28,Detlef Schrempf,30,IND,PF,82,60,37.8,6.3,13.2,0.476,0.1,0.6,0.154,6.2,12.6,0.493,0.48,6.4,8,0.804,2.6,7,9.5,6,1,0.3,3,3.7,19.1,AS
29,Glen Rice,25,MIA,SF,82,82,37.6,7.1,16.1,0.44,1.8,4.7,0.383,5.3,11.4,0.463,0.495,3,3.6,0.82,1.1,4,5.2,2.2,1.1,0.3,1.9,2.5,19,
30,Harvey Grant,27,WSB,SF,72,72,37,7.8,16,0.487,0,0.1,0.1,7.8,15.8,0.491,0.488,3,4.2,0.727,1.8,3.9,5.7,2.8,1,0.6,1.3,2.3,18.6,
31,Scottie Pippen,27,CHI,SF,81,81,38.6,7.8,16.4,0.473,0.3,1.1,0.237,7.5,15.2,0.491,0.482,2.9,4.3,0.663,2.5,5.2,7.7,6.3,2.1,0.9,3,2.7,18.6,"AS,NBA3,DEF1"
32,Derek Harper,31,DAL,SG,62,60,34,6.3,15.1,0.419,1.6,4.1,0.393,4.7,11,0.428,0.472,3.9,5.1,0.756,0.7,1.3,2,5.4,1.3,0.3,2.2,2.3,18.2,
33,Christian Laettner,23,MIN,PF,81,81,34.9,6.2,13.1,0.474,0,0.5,0.1,6.2,12.6,0.489,0.476,5.7,6.8,0.835,2.1,6.6,8.7,2.8,1.3,1,3.4,3.6,18.2,
34,Ricky Pierce,33,SEA,SG,77,72,28.8,6.8,13.9,0.489,0.5,1.5,0.372,6.3,12.4,0.503,0.509,4.1,4.6,0.889,0.8,1.7,2.5,2.9,1.3,0.1,2.1,2.2,18.2,
35,Terry Porter,29,POR,PG,81,81,35.6,6.2,13.7,0.454,1.8,4.3,0.414,4.4,9.4,0.472,0.519,4,4.8,0.843,0.7,3.2,3.9,5.2,1.2,0.1,2.5,1.5,18.2,AS
36,Mark Price,28,CLE,PG,75,74,31.7,6.4,13.1,0.484,1.6,3.9,0.416,4.7,9.2,0.512,0.546,3.9,4.1,0.948,0.5,2.2,2.7,8,1.2,0.1,2.6,1.4,18.2,"MVP-8,AS,NBA1"
