Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Adrian Dantley,25,UTA,SF,80,,42.7,11.4,20.3,0.559,0,0.1,0.286,11.3,20.3,0.56,0.559,7.9,9.8,0.806,2.4,4,6.4,4,1.4,0.2,3.5,3.1,30.7,"MVP-12,AS,NBA2"
2,Moses Malone,25,HOU,C,80,,40.6,10.1,19.3,0.522,0,0,0.333,10.1,19.3,0.522,0.522,7.6,10.1,0.757,5.9,8.8,14.8,1.8,1,1.9,3.9,2.8,27.8,"MVP-4,AS,NBA2"
3,George Gervin,28,SAS,SG,82,82,33.7,10.4,21.1,0.492,0.1,0.4,0.257,10.3,20.7,0.496,0.494,6.2,7.6,0.826,1.5,3.6,5.1,3.2,1.1,0.7,3.1,2.6,27.1,"MVP-5,AS,NBA1"
4,Kareem Abdul-Jabbar,33,LAL,C,80,,37.2,10.5,18.2,0.574,0,0,0,10.5,18.2,0.574,0.574,5.3,6.9,0.766,2.5,7.8,10.3,3.4,0.7,2.9,3.1,3.1,26.2,"MVP-3,AS,NBA1,DEF1"
5,David Thompson,26,DEN,SG,77,,34,9.5,18.8,0.506,0.1,0.5,0.256,9.4,18.3,0.513,0.509,6.4,8,0.795,1.4,2.3,3.7,3,0.7,0.8,3.2,3,25.5,
6,Otis Birdsong,25,KCK,SG,71,,36.5,10,18.4,0.544,0.1,0.5,0.286,9.9,17.9,0.551,0.547,4.5,6.4,0.697,1.7,2,3.6,3.3,1.3,0.3,2.4,2.4,24.6,"MVP-17,AS,NBA2"
7,Julius Erving,30,PHI,SF,82,82,35,9.7,18.6,0.521,0,0.2,0.222,9.6,18.4,0.525,0.522,5.1,6.5,0.787,3,5,8,4.4,2.1,1.8,3.2,2.8,24.6,"MVP-1,AS,NBA1"
8,Mike Mitchell,25,CLE,SF,82,82,39,10.4,21.8,0.476,0,0.1,0.444,10.4,21.7,0.476,0.477,3.7,4.7,0.784,2.6,3.5,6.1,1.7,0.8,0.6,2.1,2.4,24.5,"MVP-24,AS"
9,World B. Free,27,GSW,SG,65,,36.5,7.9,17.8,0.446,0.1,0.5,0.161,7.9,17.3,0.454,0.448,8.1,10,0.814,0.7,1.7,2.4,5.6,1.3,0.2,3,2.8,24.1,
10,Alex English,27,DEN,SF,81,,38.2,9.5,19.2,0.494,0,0.1,0.6,9.4,19.1,0.494,0.495,4.8,5.7,0.85,3.4,4.6,8,3.6,1.3,1.2,3,3.1,23.8,
11,Jamaal Wilkes,27,LAL,SF,81,,37.4,9.7,18.5,0.526,0,0.2,0.077,9.7,18.3,0.53,0.526,3.1,4.1,0.758,1.8,3.6,5.4,2.9,1.5,0.4,2.6,2.8,22.6,"MVP-10,AS"
12,Dan Issel,32,DEN,C,80,,33,7.7,15.3,0.503,0,0.2,0.167,7.7,15.1,0.507,0.504,6.5,8.6,0.759,2.9,5.6,8.5,2,1,0.7,1.6,3.1,21.9,
