Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Allen Iverson,23,PHI,SG,48,48,41.5,9.1,22,0.412,1.2,4.1,0.291,7.9,17.9,0.44,0.439,7.4,9.9,0.751,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2,26.8,"MVP-4,NBA1"
2,Shaquille O'Neal,26,LAL,C,49,49,34.8,10.4,18.1,0.576,0,0,0,10.4,18,0.577,0.576,5.5,10.2,0.54,3.8,6.9,10.7,2.3,0.7,1.7,2.5,3.2,26.3,"MVP-6,NBA2"
3,Karl Malone,35,UTA,PF,49,49,37.4,8,16.3,0.493,0,0,0,8,16.2,0.494,0.493,7.7,9.8,0.788,2.2,7.3,9.4,4.1,1.3,0.6,3.3,2.7,23.8,"MVP-1,NBA1,DEF1"
4,Shareef Abdur-Rahim,22,VAN,SF,50,50,40.4,7.7,17.9,0.432,0.2,0.7,0.306,7.5,17.1,0.438,0.438,7.4,8.8,0.841,2.3,5.2,7.5,3.4,1.4,1.1,3.7,2.7,23,
5,Keith Van Horn,23,NJN,PF,42,42,37.5,7.7,17.9,0.428,0.4,1.3,0.302,7.3,16.6,0.438,0.439,6.1,7.1,0.859,2.7,5.8,8.5,1.5,1,1.3,3.2,3.2,21.8,
6,Tim Duncan,22,SAS,PF,50,50,39.3,8.4,16.9,0.495,0,0.1,0.143,8.3,16.8,0.498,0.495,4.9,7.2,0.69,3.2,8.2,11.4,2.4,0.9,2.5,2.9,2.9,21.7,"MVP-3,DPOY-5,NBA1,DEF1"
7,Gary Payton,30,SEA,PG,50,50,40.2,8,18.5,0.434,1.7,5.6,0.295,6.4,12.8,0.495,0.479,4,5.5,0.721,1.2,3.6,4.9,8.7,2.2,0.2,3.1,2.3,21.7,"MVP-9,DPOY-3,NBA2,DEF1"
8,Stephon Marbury,21,2TM,PG,49,49,38.7,7.7,18,0.428,1.3,4,0.335,6.4,14,0.455,0.465,4.5,5.7,0.799,0.8,2.1,2.9,8.9,1.2,0.2,3.3,2.6,21.3,
8,Stephon Marbury,21,MIN,PG,18,18,36.7,6.9,16.9,0.408,0.4,2.2,0.205,6.4,14.7,0.438,0.421,3.5,4.8,0.724,0.9,2.5,3.4,9.3,1.6,0.3,3.1,2.4,17.7,
8,Stephon Marbury,21,NJN,PG,31,31,39.8,8.2,18.7,0.439,1.9,5.1,0.367,6.3,13.6,0.466,0.489,5.1,6.2,0.832,0.6,1.9,2.6,8.7,1,0.1,3.5,2.6,23.4,
9,Antonio McDyess,24,DEN,C,50,50,38.7,8.3,17.6,0.471,0,0.2,0.111,8.3,17.5,0.474,0.471,4.6,6.8,0.68,3.4,7.4,10.7,1.6,1.5,2.3,2.8,3.5,21.2,NBA3
10,Grant Hill,26,DET,SF,50,50,37,7.7,16,0.479,0,0.3,0,7.7,15.8,0.487,0.479,5.7,7.6,0.752,1.3,5.8,7.1,6,1.6,0.5,3.7,2.3,21.1,"MVP-8,NBA2"
11,Kevin Garnett,22,MIN,PF,47,47,37.9,8.8,19.1,0.46,0.1,0.3,0.286,8.7,18.9,0.463,0.462,3.1,4.4,0.704,3.5,6.9,10.4,4.3,1.7,1.8,2.9,3.2,20.8,"MVP-10,DPOY-7,NBA3"
12,Shawn Kemp,29,CLE,PF,42,42,35.1,6.6,13.7,0.482,0,0,0.5,6.6,13.6,0.482,0.483,7.3,9.3,0.789,3.1,6.1,9.2,2.4,1.1,1.1,3,3.8,20.5,MVP-11
13,Michael Finley,25,DAL,SF,50,50,41,7.8,17.5,0.444,0.9,2.7,0.331,6.9,14.8,0.465,0.47,3.7,4.5,0.823,1.4,3.9,5.3,4.4,1.3,0.3,2.1,1.9,20.2,
14,Alonzo Mourning,28,MIA,C,46,46,38.1,7,13.8,0.511,0,0,0,7,13.7,0.513,0.511,6,9.2,0.652,3.6,7.4,11,1.6,0.7,3.9,3,3.5,20.1,"MVP-2,DPOY-1,NBA1,DEF1"
15,Chris Webber,25,SAC,PF,42,42,40.9,9,18.5,0.486,0.1,0.8,0.118,8.9,17.7,0.503,0.488,1.9,4.1,0.454,3.5,9.4,13,4.1,1.4,2.1,3.5,3.5,20,"MVP-7,NBA2"
16,Kobe Bryant,20,LAL,SG,50,50,37.9,7.2,15.6,0.465,0.5,2,0.267,6.7,13.6,0.494,0.482,4.9,5.8,0.839,1.1,4.2,5.3,3.8,1.4,1,3.1,3.1,19.9,NBA3
17,Mitch Richmond,33,WAS,SG,50,50,38.2,6.6,16.1,0.412,1.4,4.4,0.317,5.2,11.6,0.448,0.456,5,5.9,0.857,0.6,2.8,3.4,2.4,1.3,0.2,2.7,2.4,19.7,
18,Juwan Howard,25,WAS,SF,36,36,39.7,7.9,16.8,0.474,0,0.1,0,7.9,16.7,0.476,0.474,3.1,4.1,0.753,2.5,5.6,8.1,3,1.2,0.4,2.6,3.6,18.9,
19,Hakeem Olajuwon,36,HOU,C,50,50,35.7,7.5,14.5,0.514,0.1,0.3,0.308,7.4,14.2,0.518,0.517,3.9,5.4,0.717,2.1,7.4,9.6,1.8,1.6,2.5,2.8,3.2,18.9,"MVP-13,DPOY-7,NBA3"
20,Toni Kukoč,30,CHI,SF,44,44,37.6,7.2,17,0.42,0.9,3.1,0.285,6.3,13.9,0.45,0.446,3.6,4.9,0.74,1.5,5.6,7,5.3,1.1,0.3,2.8,1.9,18.8,
21,Steve Smith,29,ATL,SG,36,36,36.5,6,15,0.402,1.3,3.9,0.338,4.7,11.1,0.424,0.445,5.3,6.3,0.849,1.4,2.8,4.2,3.3,1,0.3,2.8,2.8,18.7,MVP-16
22,Antoine Walker,22,BOS,PF,42,41,36.9,7.2,17.5,0.412,1.5,4.2,0.369,5.7,13.3,0.426,0.456,2.7,4.8,0.559,2.5,6,8.5,3.1,1.5,0.7,2.8,3.4,18.7,
23,Reggie Miller,33,IND,SG,50,50,35.7,5.9,13.4,0.438,2.1,5.5,0.385,3.8,7.9,0.475,0.517,4.5,4.9,0.915,0.5,2.2,2.7,2.2,0.7,0.2,1.5,2,18.4,
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
24,Glenn Robinson,26,MIL,SF,47,47,33.6,7.4,16.1,0.459,0.7,1.7,0.392,6.7,14.4,0.467,0.479,3,3.4,0.87,1.6,4.3,5.9,2.1,1,0.9,2.3,2.4,18.4,MVP-16
25,Vince Carter,22,TOR,SF,50,49,35.2,6.9,15.3,0.45,0.4,1.3,0.288,6.5,14,0.466,0.463,4.1,5.4,0.761,1.9,3.8,5.7,3,1.1,1.5,2.2,2.8,18.3,"MVP-16,ROY-1"
26,Glen Rice,31,LAL,SF,27,25,36.5,6.3,14.7,0.432,2,5,0.393,4.4,9.7,0.452,0.499,2.9,3.3,0.856,0.3,3.3,3.7,2.6,0.6,0.2,1.7,2.5,17.5,
27,Tim Hardaway,32,MIA,PG,48,48,36.9,6.3,15.7,0.4,2.3,6.5,0.36,3.9,9.2,0.429,0.475,2.5,3.1,0.812,0.3,2.9,3.2,7.3,1.2,0.1,2.7,2.1,17.4,NBA2
28,Patrick Ewing,36,NYK,C,38,38,34.2,6.5,14.9,0.435,0,0.1,0,6.5,14.9,0.436,0.435,4.3,6.1,0.706,1.9,8,9.9,1.1,0.8,2.6,2.6,2.8,17.3,
29,Ray Allen,23,MIL,SG,50,50,34.4,6.1,13.5,0.45,1.5,4.2,0.356,4.6,9.3,0.492,0.505,3.5,3.9,0.903,1.1,3.1,4.2,3.6,1.1,0.1,2.4,2.3,17.1,
30,Tom Gugliotta,29,PHO,PF,43,43,36.3,6.4,13.3,0.483,0,0.2,0.286,6.4,13.2,0.486,0.485,4,5.1,0.794,3,5.8,8.9,2.8,1.4,0.5,2,2.6,17,
31,Ron Mercer,22,BOS,SG,41,40,37.8,7.4,17.2,0.431,0.1,0.7,0.167,7.3,16.5,0.443,0.435,2,2.6,0.79,0.9,2.9,3.8,2.5,1.6,0.3,2.2,2,17,
