Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Michael Jordan,33,CHI,SG,82,82,37.9,11.2,23.1,0.486,1.4,3.6,0.374,9.9,19.5,0.507,0.516,5.9,7,0.833,1.4,4.5,5.9,4.3,1.7,0.5,2,1.9,29.6,"MVP-2,DPOY-5,AS,NBA1,DEF1"
2,Karl Malone,33,UTA,PF,82,82,36.6,10.5,19.2,0.55,0,0.2,0,10.5,19,0.555,0.55,6.4,8.4,0.755,2.4,7.5,9.9,4.5,1.4,0.6,2.8,2.6,27.4,"MVP-1,AS,NBA1,DEF1"
3,Glen Rice,29,CHH,SF,79,78,42.6,9.1,19.2,0.477,2.6,5.6,0.47,6.5,13.6,0.48,0.546,5.9,6.8,0.867,0.8,3.2,4,2,0.9,0.3,2.2,2.4,26.8,"MVP-5,AS,NBA2"
4,Shaquille O'Neal,24,LAL,C,51,51,38.1,10.8,19.4,0.557,0,0.1,0,10.8,19.4,0.559,0.557,4.5,9.4,0.484,3.8,8.7,12.5,3.1,0.9,2.9,2.9,3.5,26.2,"MVP-9,AS,NBA3"
5,Mitch Richmond,31,SAC,SG,81,81,38.6,8.9,19.5,0.454,2.5,5.9,0.428,6.3,13.6,0.466,0.519,5.6,6.6,0.861,0.7,3.2,3.9,4.2,1.5,0.3,2.9,2.6,25.9,"MVP-13,AS,NBA2"
6,Latrell Sprewell,26,GSW,SG,80,79,41.9,8.1,18.1,0.449,1.8,5.2,0.354,6.3,12.9,0.488,0.5,6.2,7.3,0.843,0.7,3.9,4.6,6.3,1.7,0.6,4,1.9,24.2,AS
7,Allen Iverson,21,PHI,PG,76,74,40.1,8.2,19.8,0.416,2,6,0.341,6.2,13.8,0.448,0.467,5,7.2,0.702,1.5,2.6,4.1,7.5,2.1,0.3,4.4,3.1,23.5,"MVP-17,ROY-1"
8,Hakeem Olajuwon,34,HOU,C,78,78,36.6,9.3,18.3,0.51,0.1,0.2,0.313,9.3,18.1,0.512,0.512,4.5,5.7,0.787,2.2,7,9.2,3,1.5,2.2,3.6,3.2,23.2,"MVP-7,AS,NBA1,DEF2"
9,Patrick Ewing,34,NYK,C,78,78,37,8.4,17.2,0.488,0,0.1,0.222,8.4,17.1,0.49,0.489,5.6,7.5,0.754,2.2,8.4,10.7,2,0.9,2.4,3.4,3.2,22.4,"MVP-8,AS,NBA2"
10,LaPhonso Ellis,26,DEN,PF,55,49,36.4,8.1,18.4,0.439,1.7,4.7,0.367,6.4,13.7,0.464,0.486,4,5.1,0.773,1.9,5.1,7,2.4,0.8,0.7,2.1,3.3,21.9,
