Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Michael Jordan,28,CHI,SG,80,80,38.8,11.8,22.7,0.519,0.3,1.3,0.27,11.5,21.5,0.533,0.526,6.1,7.4,0.832,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5,30.1,"MVP-1,DPOY-3,AS,NBA1,DEF1"
2,Dominique Wilkins,32,ATL,SF,42,42,38.1,10.1,21.8,0.464,0.9,3,0.289,9.2,18.7,0.492,0.484,7,8.4,0.835,2.5,4.6,7,3.8,1.2,0.6,2.9,1.8,28.1,AS
3,Karl Malone,28,UTA,PF,81,81,37.7,9.9,18.7,0.526,0,0.2,0.176,9.8,18.5,0.53,0.527,8.3,10.7,0.778,2.8,8.4,11.2,3,1.3,0.6,3.1,2.8,28,"MVP-4,DPOY-6,AS,NBA1"
4,Chris Mullin,28,GSW,SF,81,81,41.3,10.2,19.6,0.524,0.8,2.2,0.366,9.5,17.4,0.544,0.544,4.3,5.2,0.833,1.6,4,5.6,3.5,2.1,0.8,2.5,2.1,25.6,"MVP-6,AS,NBA1"
5,Clyde Drexler,29,POR,SG,76,76,36.2,9.1,19.4,0.47,1.5,4.4,0.337,7.6,15,0.51,0.509,5.3,6.6,0.794,2.2,4.4,6.6,6.7,1.8,0.9,3.2,3,25,"MVP-2,AS,NBA1"
6,Patrick Ewing,29,NYK,C,82,82,38.4,9.7,18.6,0.522,0,0.1,0.167,9.7,18.5,0.523,0.522,4.6,6.2,0.738,2.8,8.5,11.2,1.9,1.1,3,2.5,3.4,24,"MVP-5,AS,NBA2,DEF2"
7,Tim Hardaway,25,GSW,PG,81,81,41.1,9.1,19.7,0.461,1.6,4.6,0.338,7.5,15,0.499,0.501,3.7,4.8,0.766,1,2.8,3.8,10,2,0.2,3.3,2.6,23.4,"MVP-8,AS,NBA2"
8,David Robinson,26,SAS,C,68,68,37.7,8.7,15.8,0.551,0,0.1,0.125,8.7,15.7,0.554,0.552,5.8,8.3,0.701,3.8,8.4,12.2,2.7,2.3,4.5,2.7,3.2,23.2,"MVP-3,DPOY-1,AS,NBA1,DEF1"
9,Charles Barkley,28,PHI,SF,75,75,38.4,8.3,15,0.552,0.4,1.8,0.234,7.9,13.2,0.597,0.567,6.1,8.7,0.695,3.6,7.5,11.1,4.1,1.8,0.6,3.1,2.6,23.1,"MVP-12,AS,NBA2"
10,Mitch Richmond,26,SAC,SG,80,80,38.7,8.6,18.3,0.468,1.3,3.4,0.384,7.3,15,0.486,0.503,4.1,5.1,0.813,0.8,3.2,4,5.1,1.2,0.4,3.1,2.9,22.5,
11,Glen Rice,24,MIA,SF,79,79,38.1,8.5,18.1,0.469,2,5,0.391,6.5,13.1,0.499,0.523,3.4,4,0.836,1.1,3.9,5,2.3,1.1,0.4,1.8,2.2,22.3,
12,Ricky Pierce,32,SEA,SG,78,78,34.1,7.9,16.7,0.475,0.4,1.6,0.268,7.5,15.2,0.496,0.487,5.3,5.8,0.916,1.2,1.8,3,3.1,1.1,0.3,2.4,2.7,21.7,
13,Hakeem Olajuwon,29,HOU,C,70,69,37.7,8.4,16.8,0.502,0,0,0,8.4,16.8,0.503,0.502,4.7,6.1,0.766,3.5,8.6,12.1,2.2,1.8,4.3,2.7,3.8,21.6,"DPOY-6,AS"
14,Brad Daugherty,26,CLE,C,73,73,36.2,7.9,13.8,0.57,0,0,0,7.9,13.8,0.571,0.57,5.7,7.3,0.777,2.6,7.8,10.4,3.6,0.9,1.1,2.5,2.6,21.5,"MVP-11,AS,NBA3"
15,Scottie Pippen,26,CHI,SF,82,82,38.6,8.4,16.6,0.506,0.2,1,0.2,8.2,15.6,0.525,0.511,4,5.3,0.76,2.3,5.4,7.7,7,1.9,1.1,3.1,3,21,"MVP-9,DPOY-3,AS,NBA2,DEF1"
16,Reggie Lewis,26,BOS,SG,82,82,37.4,8.6,17,0.503,0.1,0.3,0.238,8.5,16.8,0.507,0.505,3.6,4.2,0.851,1.4,3.4,4.8,2.3,1.5,1.3,1.7,3.1,20.8,AS
17,Reggie Miller,26,IND,SG,82,82,38,6.9,13.7,0.501,1.6,4.2,0.378,5.3,9.5,0.555,0.559,5.4,6.3,0.858,1,2.9,3.9,3.8,1.3,0.3,1.9,2.6,20.7,
18,Dražen Petrović,27,NJN,SG,82,82,36.9,8.1,16,0.508,1.5,3.4,0.444,6.6,12.7,0.525,0.555,2.8,3.5,0.808,1.2,2,3.1,3.1,1.3,0.1,2.6,3,20.6,
19,Kendall Gill,23,CHH,SG,79,79,36.8,8.4,18.1,0.467,0.1,0.3,0.24,8.4,17.7,0.471,0.469,3.6,4.8,0.745,2.1,3,5.1,4.2,1.9,0.6,2.3,3,20.5,
20,Larry Bird,35,BOS,SF,45,45,36.9,7.8,16.8,0.466,1.2,2.8,0.406,6.7,14,0.478,0.5,3.3,3.6,0.926,1,8.6,9.6,6.8,0.9,0.7,2.8,1.8,20.2,"MVP-14,AS"
21,Jeff Malone,30,UTA,SG,81,81,36.1,8.5,16.7,0.511,0,0.1,0.083,8.5,16.6,0.515,0.511,3.2,3.5,0.898,0.6,2.3,2.9,2.2,0.7,0.1,1.7,1.6,20.2,
22,Jeff Hornacek,28,PHO,SG,81,81,38,7.8,15.3,0.512,1,2.3,0.439,6.8,13,0.525,0.546,3.4,3.9,0.886,1.3,3.7,5,5.1,2,0.4,2.1,2.7,20.1,AS
23,Pervis Ellison,24,WSB,C,66,64,38,8.3,15.4,0.539,0,0,0.333,8.3,15.3,0.54,0.54,3.4,4.7,0.728,3.3,7.9,11.2,2.9,0.9,2.7,3,3.4,20,MIP-1
24,Nick Anderson,24,ORL,SG,60,59,36.7,8,17.4,0.463,0.5,1.4,0.353,7.5,16,0.472,0.477,3.4,5.1,0.667,1.6,4.8,6.4,2.7,1.6,0.6,2.1,2.2,19.9,
25,Joe Dumars,28,DET,SG,82,82,38.9,7.2,16,0.448,0.6,1.5,0.408,6.6,14.5,0.452,0.466,5,5.8,0.867,1,1.3,2.3,4.6,0.9,0.1,2.4,1.8,19.9,"DPOY-5,AS,DEF1"
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
26,Dennis Scott,23,ORL,SF,18,15,33.8,7.4,18.4,0.402,1.6,4.9,0.326,5.8,13.4,0.43,0.446,3.6,3.9,0.901,0.8,2.9,3.7,1.9,1.1,0.5,1.7,2.7,19.9,
27,James Worthy,30,LAL,SF,54,54,39,8.3,18.6,0.447,0.2,0.8,0.209,8.2,17.9,0.457,0.451,3.1,3.8,0.814,1.8,3.8,5.6,4.7,1.4,0.4,2.4,1.6,19.9,AS
28,Derrick Coleman,24,NJN,PF,65,58,34,7.4,14.7,0.504,0.4,1.2,0.303,7.1,13.6,0.522,0.516,4.6,6,0.763,3.1,6.4,9.5,3.2,0.8,1.5,3.8,2.6,19.8,
29,Kevin Johnson,25,PHO,PG,78,78,37.2,6.9,14.4,0.479,0.1,0.6,0.217,6.8,13.8,0.49,0.484,5.7,7.1,0.807,0.8,3,3.7,10.7,1.5,0.3,3.5,2.3,19.7,"MVP-15,NBA3"
30,Danny Manning,25,LAC,PF,82,82,35.4,7.9,14.6,0.542,0,0.1,0,7.9,14.6,0.544,0.542,3.4,4.7,0.725,2.8,4.1,6.9,3.5,1.6,1.5,2.6,3.6,19.3,MVP-16
31,Larry Johnson,22,CHH,PF,82,77,37.2,7.5,15.3,0.49,0.1,0.3,0.227,7.5,15.1,0.494,0.492,4.1,5,0.829,3.9,7,11,3.6,1,0.6,2,2.7,19.2,ROY-1
32,Hersey Hawkins,25,PHI,SG,81,81,37.2,6.4,13.9,0.462,1.1,2.8,0.397,5.3,11.1,0.479,0.503,5,5.7,0.874,0.7,2.7,3.3,3.1,1.9,0.5,2.3,2.1,19,
33,Šarūnas Marčiulionis,27,GSW,SG,72,5,29.4,6.8,12.7,0.538,0,0.1,0.3,6.8,12.5,0.541,0.54,5.2,6.6,0.788,0.9,1.9,2.9,3.4,1.6,0.1,2.7,3.3,18.9,6MOY-2
34,Chuck Person,27,IND,SF,81,81,36.1,7.6,15.9,0.48,1.6,4.4,0.373,6,11.5,0.52,0.531,1.6,2.4,0.675,1.4,3.9,5.3,4.7,0.8,0.2,2.7,3,18.5,
35,Isiah Thomas,30,DET,PG,78,78,37.4,7.2,16.2,0.446,0.3,1.1,0.291,6.9,15.1,0.458,0.456,3.7,4.8,0.772,0.9,2.3,3.2,7.2,1.5,0.2,3.2,2.5,18.5,AS
36,Rolando Blackman,32,DAL,SG,75,74,33.7,7.1,15.5,0.461,0.9,2.3,0.385,6.3,13.2,0.474,0.489,3.2,3.5,0.898,1,2.1,3.2,2.7,0.7,0.3,2,1.8,18.3,
37,Kevin Willis,29,ATL,PF,81,80,36.6,7.3,15.1,0.483,0.1,0.5,0.162,7.2,14.7,0.493,0.485,3.6,4.5,0.804,5.2,10.4,15.5,2.1,0.9,0.7,2.4,2.8,18.3,"AS,NBA3"
38,Ron Harper,28,LAC,SG,82,82,38.3,6.9,15.8,0.44,0.8,2.6,0.303,6.2,13.2,0.467,0.465,3.6,4.9,0.736,1.5,4,5.5,5.1,1.9,0.9,3.1,2.4,18.2,
39,Reggie Williams,27,DEN,SF,81,80,32.4,7.4,15.8,0.471,0.7,1.9,0.359,6.7,13.8,0.486,0.493,2.7,3.3,0.803,1.8,3.2,5,2.9,1.8,0.8,2.1,3.3,18.2,
40,Michael Adams,29,WSB,PG,78,78,35.8,6.2,15.8,0.393,1.6,4.9,0.324,4.6,10.9,0.425,0.444,4,4.6,0.869,0.7,3.2,4,7.6,1.9,0.1,2.7,2.1,18.1,AS
41,Terry Porter,28,POR,PG,82,82,34,6.4,13.8,0.461,1.6,4,0.395,4.8,9.8,0.488,0.518,3.8,4.5,0.856,0.6,2.5,3.1,5.8,1.5,0.1,2.3,1.9,18.1,
42,Harvey Grant,26,WSB,SF,64,60,37.3,7.6,16,0.478,0,0.1,0.125,7.6,15.8,0.481,0.479,2.8,3.4,0.8,2.5,4.3,6.8,2.7,1.2,0.4,1.7,2.8,18,
43,Derek Harper,30,DAL,PG,65,64,34.6,6.9,15.6,0.443,0.9,2.9,0.312,6,12.7,0.473,0.472,3,4,0.759,0.8,1.9,2.6,5.7,1.6,0.3,2.4,2.3,17.7,
44,Terry Cummings,30,SAS,PF,70,67,30.7,7.3,15,0.488,0.1,0.2,0.385,7.3,14.9,0.489,0.491,2.5,3.6,0.711,3.5,5.5,9,1.5,0.8,0.5,1.6,3,17.3,
45,Dan Majerle,26,PHO,SF,82,15,34.8,6.7,14.1,0.478,1.1,2.8,0.382,5.7,11.3,0.502,0.516,2.8,3.7,0.756,1.8,4.1,5.9,3.3,1.6,0.5,1.2,1.9,17.3,"6MOY-3,AS"
46,Mark Price,27,CLE,PG,72,72,29.7,6.1,12.5,0.488,1.4,3.6,0.387,4.7,8.8,0.53,0.545,3.8,4,0.947,0.5,1.9,2.4,7.4,1.3,0.2,2.2,1.6,17.3,"MVP-7,AS,NBA3"
47,Detlef Schrempf,29,IND,PF,80,4,32.6,6.2,11.6,0.536,0.3,0.9,0.324,5.9,10.7,0.554,0.549,4.6,5.5,0.828,2.5,7.1,9.6,3.9,0.8,0.5,2.4,3.6,17.3,"MVP-16,6MOY-1"
