Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Adrian Dantley,28,UTA,SF,79,79,37.8,10.2,18.2,0.558,0,0.1,0.25,10.1,18.2,0.559,0.558,10.3,12,0.859,2.3,3.4,5.7,3.9,0.8,0.1,3.3,2.5,30.6,"MVP-7,AS,NBA2"
2,Mark Aguirre,24,DAL,SF,79,79,36.7,11.7,22.3,0.524,0.2,0.7,0.268,11.5,21.6,0.532,0.528,5.9,7.9,0.749,2,3.9,5.9,4.5,1,0.3,3.6,3.1,29.5,"MVP-11,AS"
3,Kiki Vandeweghe,25,DEN,PF,78,71,35.1,11.5,20.6,0.558,0.1,0.4,0.367,11.3,20.2,0.562,0.562,6.3,7.4,0.852,1.1,3.7,4.8,3.1,0.7,0.6,2,2.4,29.4,AS
4,Alex English,30,DEN,SF,82,77,35,11.1,20.9,0.529,0,0.1,0.143,11,20.8,0.531,0.529,4.3,5.2,0.824,2.6,3,5.7,5,1,1.2,2.7,3.1,26.4,AS
5,Bernard King,27,NYK,SF,77,76,34.6,10.3,18.1,0.572,0,0.1,0,10.3,18,0.573,0.572,5.7,7.3,0.779,1.6,3.5,5.1,2.1,1,0.2,2.6,3.5,26.3,"MVP-2,AS,NBA1"
6,George Gervin,31,SAS,SG,76,76,34,10.1,20.5,0.49,0.1,0.3,0.417,9.9,20.2,0.491,0.493,5.6,6.7,0.842,1.4,2.7,4.1,2.9,1,0.6,2.9,2.9,25.9,AS
7,Larry Bird,27,BOS,PF,79,77,38.3,9.6,19.5,0.492,0.2,0.9,0.247,9.4,18.6,0.504,0.497,4.7,5.3,0.888,2.3,7.8,10.1,6.6,1.8,0.9,3,2.5,24.2,"MVP-1,DPOY-12,AS,NBA1,DEF2"
8,Mike Mitchell,28,SAS,SF,79,79,36.1,9.9,20.2,0.488,0.1,0.2,0.429,9.8,20,0.488,0.49,3.5,4.5,0.779,2.4,4.8,7.2,1.2,0.8,0.9,1.8,3.2,23.3,
9,Terry Cummings,22,SDC,PF,81,80,35.9,9.1,18.4,0.494,0,0,0,9.1,18.4,0.495,0.494,4.7,6.5,0.72,4,5.6,9.6,1.7,1.1,0.7,2.7,3.7,22.9,
10,Purvis Short,26,GSW,SF,79,76,37.3,9,19.1,0.473,0.3,0.9,0.306,8.8,18.2,0.482,0.48,4.5,5.6,0.793,2.3,3.2,5.5,3.1,1.3,0.1,2.9,3.2,22.8,
11,Moses Malone,28,PHI,C,71,71,36.8,7.5,15.5,0.483,0,0.1,0,7.5,15.5,0.485,0.483,7.7,10.2,0.75,5,8.4,13.4,1.4,1,1.5,3.5,2.6,22.7,"MVP-10,DPOY-12,AS,NBA2"
12,Rolando Blackman,24,DAL,SG,81,81,37.3,8.9,16.3,0.546,0,0.1,0.091,8.9,16.2,0.55,0.547,4.6,5.7,0.812,1.5,3.1,4.6,3.6,0.7,0.5,2.1,1.6,22.4,
13,Julius Erving,33,PHI,SF,77,77,34.8,8.8,17.2,0.512,0.1,0.3,0.333,8.7,16.9,0.515,0.515,4.7,6.3,0.754,2.5,4.4,6.9,4,1.8,1.8,3,2.8,22.4,"MVP-6,AS,NBA2"
14,World B. Free,30,CLE,SG,75,71,31.7,8.3,18.8,0.445,0.3,0.9,0.319,8.1,17.8,0.451,0.453,5.3,6.7,0.784,1.2,1.7,2.9,3,1.3,0.1,2.1,2.9,22.3,MVP-14
15,Jeff Ruland,25,WSB,C,75,75,41.1,8,13.8,0.579,0,0.1,0.143,8,13.7,0.582,0.579,6.2,8.5,0.733,3.5,8.8,12.3,3.9,0.9,1,4.6,3.8,22.2,"MVP-9,AS"
16,Eddie Johnson,24,KCK,SF,82,82,35.6,9.2,18.9,0.485,0.2,0.8,0.313,8.9,18.1,0.493,0.492,3.3,4,0.81,2,3.5,5.5,3.6,0.9,0.3,2.6,3.2,21.9,
17,Dominique Wilkins,24,ATL,SF,81,81,36.6,8.4,17.6,0.479,0,0.1,0,8.4,17.5,0.482,0.479,4.7,6.1,0.77,3.1,4,7.2,1.6,1.4,1.1,2.7,2.4,21.6,
18,Kareem Abdul-Jabbar,36,LAL,C,80,80,32.8,9,15.5,0.578,0,0,0,9,15.5,0.579,0.578,3.6,4.9,0.723,2.1,5.2,7.3,2.6,0.7,1.8,2.8,2.6,21.5,"MVP-4,AS,NBA1,DEF2"
19,Jim Paxson,26,POR,SG,81,81,33.2,8.4,16.3,0.514,0.2,0.7,0.288,8.2,15.6,0.525,0.521,4.3,5.1,0.841,0.8,1.3,2.1,3.1,1.5,0.1,1.8,2,21.3,"AS,NBA2"
20,Isiah Thomas,22,DET,PG,82,82,36.7,8.2,17.7,0.462,0.3,0.8,0.338,7.9,16.9,0.468,0.47,4.7,6.5,0.733,1.3,2.7,4,11.1,2.5,0.4,3.7,4,21.3,"MVP-5,AS,NBA1"
21,Kelly Tripucka,24,DET,SF,76,75,32.8,7.8,17.1,0.459,0,0.2,0.118,7.8,16.8,0.464,0.46,5.6,6.9,0.815,1.6,2.5,4,3,0.9,0.2,2.5,2.5,21.3,AS
22,Ralph Sampson,23,HOU,C,82,82,32.8,8.7,16.7,0.523,0,0,0.25,8.7,16.6,0.524,0.523,3.5,5.3,0.661,3.6,7.6,11.1,2,0.9,2.4,3.6,4.1,21,"ROY-1,AS"
23,Sidney Moncrief,26,MIL,SG,79,79,38.9,7.1,14.2,0.498,0.1,0.2,0.278,7,14,0.501,0.5,6.7,7.9,0.848,2.7,4,6.7,4.5,1.4,0.3,2.7,2.6,20.9,"MVP-8,DPOY-1,AS,NBA2,DEF1"
